               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.049133,           0.0080201,            0.012581,             0.75961,              0.4722,             0.52371,             0.29378,            0.047837,           0.0077302,            0.016573,           0.0083319,           0.0083319,           0.0083319
                  36,            0.051517,           0.0091126,            0.019974,             0.43317,             0.10345,             0.10999,             0.07237,            0.065951,            0.012564,            0.031394,           0.0082394,           0.0082394,           0.0082394
                  37,            0.051823,           0.0088699,            0.019391,             0.33823,             0.17818,             0.15528,            0.079984,            0.067616,            0.011485,            0.027656,            0.008145,            0.008145,            0.008145
                  38,            0.051795,           0.0085521,             0.01478,             0.54012,              0.3157,             0.29087,             0.15967,            0.053153,           0.0092021,            0.023849,           0.0080488,           0.0080488,           0.0080488
                  39,            0.049306,           0.0084131,             0.01326,             0.67967,             0.34598,             0.38948,               0.214,            0.051789,           0.0089113,             0.01929,           0.0079509,           0.0079509,           0.0079509
                  40,            0.049068,           0.0090237,            0.014018,             0.62149,             0.31948,             0.33783,             0.17581,            0.054938,           0.0092906,             0.02097,           0.0078512,           0.0078512,           0.0078512
                  41,             0.04754,           0.0084861,            0.011986,             0.60632,             0.35665,              0.3622,             0.19181,            0.050335,            0.009038,            0.017154,             0.00775,             0.00775,             0.00775
                  42,            0.047046,           0.0083435,            0.012487,             0.80166,              0.4007,             0.50279,             0.28281,            0.044661,           0.0077579,            0.012983,           0.0076472,           0.0076472,           0.0076472
                  43,            0.047224,           0.0074008,             0.01074,             0.67667,             0.45599,             0.50353,             0.28817,            0.046103,           0.0076403,            0.013338,            0.007543,            0.007543,            0.007543
                  44,            0.050216,           0.0080202,            0.010551,             0.68654,             0.42372,             0.45551,             0.24872,            0.060958,           0.0080751,            0.014267,           0.0074373,           0.0074373,           0.0074373
                  45,            0.051869,           0.0082097,             0.01175,             0.85166,             0.38379,             0.50264,             0.29818,            0.047995,            0.007641,            0.013408,           0.0073303,           0.0073303,           0.0073303
                  46,            0.045103,           0.0075879,            0.011154,             0.84707,             0.50358,             0.60229,             0.34316,            0.039595,           0.0068778,            0.013737,           0.0072221,           0.0072221,           0.0072221
                  47,            0.044448,           0.0073473,            0.011505,             0.91293,             0.50974,              0.6169,             0.34157,            0.039582,           0.0066769,            0.009199,           0.0071127,           0.0071127,           0.0071127
                  48,             0.04523,           0.0073841,            0.010263,             0.75295,             0.56284,             0.62087,             0.36207,            0.041291,           0.0064863,            0.009943,           0.0070021,           0.0070021,           0.0070021
                  49,            0.047122,           0.0082237,            0.010231,             0.76765,             0.49441,             0.57084,              0.3274,            0.043474,           0.0067953,            0.014041,           0.0068906,           0.0068906,           0.0068906
                  50,            0.041242,           0.0068755,           0.0091525,             0.80398,             0.55448,             0.62865,             0.37384,            0.037967,           0.0065436,           0.0095016,           0.0067781,           0.0067781,           0.0067781
                  51,            0.038721,           0.0070176,           0.0082917,             0.83219,             0.55352,             0.64264,             0.39417,            0.037264,           0.0062646,            0.010634,           0.0066647,           0.0066647,           0.0066647
                  52,            0.038973,           0.0067574,           0.0076809,             0.85693,             0.57008,             0.65441,             0.39691,            0.042938,           0.0063503,           0.0086807,           0.0065505,           0.0065505,           0.0065505
                  53,            0.038417,           0.0066759,           0.0069296,             0.86431,             0.57453,             0.68994,             0.41539,            0.034362,           0.0058778,           0.0085013,           0.0064356,           0.0064356,           0.0064356
                  54,            0.039414,           0.0069067,           0.0078114,             0.80705,             0.62192,              0.7053,             0.43916,            0.036459,            0.005832,           0.0076755,           0.0063201,           0.0063201,           0.0063201
                  55,            0.039633,           0.0066954,           0.0071991,             0.76904,             0.68895,             0.74023,             0.42407,            0.032995,           0.0057005,            0.007593,            0.006204,            0.006204,            0.006204
                  56,            0.037893,           0.0065104,           0.0067976,             0.85534,             0.61447,             0.70533,             0.45501,            0.036924,           0.0057904,            0.010552,           0.0060874,           0.0060874,           0.0060874
                  57,            0.036611,             0.00611,           0.0074428,             0.89182,             0.62316,             0.73677,             0.41668,            0.033556,           0.0057248,           0.0089211,           0.0059704,           0.0059704,           0.0059704
                  58,            0.036794,           0.0063552,           0.0072591,             0.88556,             0.66981,             0.75942,             0.49486,            0.034198,            0.005391,            0.007445,           0.0058531,           0.0058531,           0.0058531
                  59,            0.035577,           0.0061386,           0.0065651,             0.82689,             0.69625,             0.76571,             0.48781,             0.02982,           0.0054759,           0.0059271,           0.0057355,           0.0057355,           0.0057355
                  60,            0.034409,            0.006338,            0.006593,              0.8802,              0.6693,             0.76966,             0.48144,            0.028654,            0.005542,           0.0053072,           0.0056178,           0.0056178,           0.0056178
                  61,            0.032663,           0.0061255,            0.005711,             0.87553,             0.67685,             0.77103,             0.51976,            0.028823,           0.0053299,           0.0053447,              0.0055,              0.0055,              0.0055
                  62,            0.036207,           0.0057474,           0.0057549,             0.83988,             0.72157,             0.78389,             0.49153,            0.034179,           0.0050946,           0.0058466,           0.0053822,           0.0053822,           0.0053822
                  63,            0.033488,           0.0061063,           0.0058182,              0.8891,             0.71051,             0.79359,             0.53796,            0.026998,           0.0050214,           0.0056379,           0.0052645,           0.0052645,           0.0052645
                  64,            0.030421,           0.0059184,           0.0065839,             0.92435,             0.66579,             0.79048,             0.53461,              0.0301,           0.0051654,           0.0062608,           0.0051469,           0.0051469,           0.0051469
                  65,            0.033419,           0.0059752,            0.006194,             0.89697,             0.65116,             0.74937,             0.48864,            0.028966,           0.0053432,           0.0062974,           0.0050296,           0.0050296,           0.0050296
                  66,            0.032718,           0.0059933,           0.0072919,             0.87684,              0.5871,              0.7087,             0.44535,            0.029011,           0.0055264,           0.0075868,           0.0049126,           0.0049126,           0.0049126
                  67,            0.030657,           0.0059038,           0.0061612,             0.88844,             0.65017,             0.75788,             0.49448,            0.028885,           0.0052434,            0.007872,            0.004796,            0.004796,            0.004796
                  68,            0.033234,           0.0058325,           0.0060467,             0.90451,             0.65793,              0.7657,              0.4519,            0.025901,           0.0051597,           0.0071799,           0.0046799,           0.0046799,           0.0046799
                  69,             0.03126,           0.0058447,           0.0054198,             0.84185,             0.73793,             0.80216,             0.51702,            0.029555,           0.0050078,           0.0069566,           0.0045644,           0.0045644,           0.0045644
                  70,            0.030276,           0.0059844,           0.0052772,             0.90059,             0.68738,             0.79881,             0.53688,            0.024946,           0.0049135,           0.0069753,           0.0044495,           0.0044495,           0.0044495
                  71,            0.032715,           0.0055569,           0.0050869,             0.86212,             0.71907,             0.80088,             0.55462,            0.028382,           0.0047295,           0.0056045,           0.0043353,           0.0043353,           0.0043353
                  72,            0.029067,           0.0055083,           0.0047538,              0.8982,             0.71444,             0.79996,             0.53538,            0.027481,           0.0047923,           0.0053647,           0.0042219,           0.0042219,           0.0042219
                  73,            0.027633,           0.0054577,           0.0051318,             0.90451,             0.69891,             0.80664,             0.54201,            0.027916,           0.0047314,           0.0053382,           0.0041094,           0.0041094,           0.0041094
                  74,            0.031128,           0.0054341,           0.0048274,              0.9329,             0.70553,             0.81737,             0.54635,            0.026357,           0.0047307,             0.00494,           0.0039979,           0.0039979,           0.0039979
                  75,            0.027753,           0.0054225,           0.0043877,             0.91527,             0.73038,             0.81551,             0.56503,            0.028609,           0.0047008,           0.0047816,           0.0038873,           0.0038873,           0.0038873
                  76,            0.029142,           0.0054638,           0.0045267,             0.90407,              0.7134,             0.81798,              0.5754,            0.023415,           0.0046058,           0.0050364,           0.0037779,           0.0037779,           0.0037779
                  77,            0.028061,           0.0057898,           0.0044683,             0.88944,             0.72725,             0.82428,             0.58251,            0.024838,           0.0046156,           0.0051817,           0.0036697,           0.0036697,           0.0036697
                  78,            0.027947,           0.0052471,           0.0045211,             0.91354,             0.70947,             0.82089,             0.58952,            0.023154,           0.0045374,           0.0052101,           0.0035627,           0.0035627,           0.0035627
                  79,            0.028413,           0.0055142,           0.0047693,             0.87597,             0.75106,             0.82961,             0.58181,            0.025195,           0.0045925,           0.0053368,            0.003457,            0.003457,            0.003457
                  80,            0.027942,           0.0054083,           0.0040667,             0.93047,             0.69117,             0.81646,             0.59248,            0.024317,           0.0045695,           0.0048828,           0.0033528,           0.0033528,           0.0033528
                  81,            0.027442,           0.0051318,           0.0045263,             0.91546,              0.7177,             0.82258,              0.6018,            0.023964,           0.0046002,           0.0053626,             0.00325,             0.00325,             0.00325
                  82,            0.026602,           0.0052789,           0.0046281,             0.93654,             0.71509,             0.83268,             0.59002,             0.02353,           0.0045628,           0.0052647,           0.0031488,           0.0031488,           0.0031488
                  83,            0.025645,           0.0050429,           0.0040325,             0.91713,             0.75024,             0.83923,             0.60138,            0.021626,            0.004508,            0.004772,           0.0030491,           0.0030491,           0.0030491
                  84,             0.02518,            0.005201,           0.0038891,              0.9117,             0.74126,             0.83672,             0.58715,            0.023153,           0.0044812,           0.0050033,           0.0029512,           0.0029512,           0.0029512
                  85,            0.024927,           0.0050246,           0.0039214,             0.88349,             0.75676,             0.83601,             0.59437,            0.022727,           0.0045753,           0.0049438,            0.002855,            0.002855,            0.002855
                  86,            0.026256,           0.0054475,            0.004309,             0.94473,             0.71953,             0.84082,              0.6115,            0.023107,           0.0044446,           0.0047957,           0.0027606,           0.0027606,           0.0027606
                  87,            0.025657,           0.0050826,           0.0033962,              0.9711,             0.70294,              0.8464,             0.61294,            0.023307,           0.0044515,           0.0046122,           0.0026681,           0.0026681,           0.0026681
                  88,            0.026738,           0.0050142,           0.0042457,             0.92378,              0.7416,             0.83608,             0.60412,            0.023208,           0.0044632,           0.0046808,           0.0025775,           0.0025775,           0.0025775
                  89,             0.02495,           0.0048988,            0.004012,              0.9224,             0.72325,             0.83798,             0.62245,            0.023624,            0.004395,           0.0049561,           0.0024889,           0.0024889,           0.0024889
